age,gender,height_cm,weight_kg,Excersise,class
27,M,172.3,75.24,1,C
25,M,165,55.8,0,A
31,M,179.6,78,1,C
32,M,174.5,71.1,1,B
28,M,173.8,67.7,1,B
36,F,165.4,55.4,0,B
42,F,164.5,63.7,0,D
33,M,174.9,77.2,1,B
54,M,166.8,67.5,1,C
28,M,185,84.6,1,B
42,M,169.2,65.4,0,A
57,F,153,49,0,D
27,F,156,53.9,1,C
22,M,175.7,67.9,1,C
24,M,181,84.4,1,C
45,F,159,63.1,1,A
25,F,164.2,66.6,1,C
26,M,179.9,71.5,0,A
26,M,169.2,70.6,1,B
21,F,162.7,47.2,0,B
25,F,161.7,63.36,1,C
59,F,155.9,62.7,1,A
38,M,166.7,67.3,0,D
44,M,170,63.3,1,B
23,F,164.1,59.4,1,C
62,M,169,70.7,1,C
47,F,158.3,53.5,0,D
48,M,175.8,84.5,0,D
36,M,176,81.3,1,C
50,F,159.8,57.1,1,A
25,M,170.9,70.7,1,C
26,M,176.7,77.2,1,C
28,F,159.5,51.54,0,A
30,M,172.1,79.5,0,D
49,F,151.5,52,0,B
40,M,177.6,88.6,1,C
21,M,172.5,66.4,0,D
31,M,177.5,79.5,0,A
32,M,178,84.5,0,A
27,M,177.6,79.7,0,D
42,M,168,61,0,D
52,M,173.6,84.9,0,D
39,M,173.3,69.8,1,C
33,F,159.6,60.5,1,C
25,F,161.8,57.7,1,A
31,M,169.9,73.1,0,D
34,M,183.6,76.82,1,B
26,M,172.1,66.1,0,D
28,M,180.1,82.1,0,A
58,M,164.2,64,0,B
48,M,169.8,75.4,0,A
23,M,180.1,65.9,0,A
38,F,157.2,51.7,1,C
43,F,168.3,69.3,0,B
21,F,159.5,51.3,0,D
56,M,166.7,56.9,0,B
24,M,164.4,66.2,1,C
58,F,146.5,46.4,1,C
42,M,174.1,103.1,0,D
45,M,185.4,80,0,D
37,M,168.9,78.8,1,C
31,M,175.3,83.6,0,D
43,F,164,50.8,1,C
23,F,162.4,58.9,1,A
59,F,165,63.7,0,B
63,M,166.6,75.5,0,D
40,M,174.2,77.6,1,B
27,F,150.5,55.7,0,D
56,F,160.2,62.4,0,B
35,M,179,75,0,A
30,M,172.7,78,0,D
56,M,160.2,62.7,1,C
36,M,171.5,80.5,0,A
60,M,175.1,66.5,1,C
22,M,172.2,70.6,0,D
22,M,171.9,78.46,0,D
37,M,174,75.2,1,B
21,F,158.1,53.6,0,D
21,M,170.4,74.3,1,B
60,F,158.6,62.7,0,B
27,F,168.5,64.2,0,D
59,F,156.3,60.5,1,A
47,F,157,54.1,0,B
21,F,161.3,50.6,0,A
51,M,177,68.7,0,B
48,M,171,66.2,0,B
49,M,170,66.2,1,C
41,F,158.1,51,0,A
24,F,159,45.5,0,A
35,M,178.4,79,0,A
26,F,156.7,56.3,1,C
35,M,178.5,78.4,0,A
25,M,171.2,65.1,0,A
30,M,176.4,71.7,1,B
27,M,175.4,86.4,1,B
41,M,166.7,65.7,0,A
50,F,158.4,57.2,1,C
22,M,175.8,72,1,C
56,M,173,70.9,0,B
46,F,159.1,52.2,0,D
44,M,180.5,79.5,1,C
25,F,162.2,71.5,0,D
25,F,156.3,48.6,0,A
59,M,170,59.1,0,D
30,M,178.4,82.5,0,D
